test_id,category,fetch_fault,rf_fault,fw_pass,trap_seen,fetch_single_cnt,fetch_double_cnt,fetch_fatal_cnt,rf_single_err,rf_double_err,rf_fatal,result
94,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
95,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
96,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
97,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
98,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
99,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
100,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
101,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
102,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
103,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
104,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
105,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
106,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
107,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
108,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
109,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
110,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
111,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
112,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
113,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
114,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
115,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
116,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
117,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
118,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
119,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
120,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
121,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
122,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
123,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
124,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
125,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
126,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
127,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
128,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
129,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
130,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
131,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
132,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
133,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
134,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
135,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
136,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
137,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
138,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
139,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
140,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
141,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
142,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
143,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
144,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
145,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
146,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
147,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
148,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
149,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
150,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
151,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
152,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
153,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
154,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
155,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
156,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
157,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
158,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
159,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
160,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
161,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
162,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
163,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
164,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
165,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
166,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
167,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
168,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
169,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
170,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
171,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
172,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
173,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
174,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
175,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
176,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
177,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
178,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
179,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
180,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
181,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
182,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
183,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
184,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
185,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
186,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
187,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
188,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
189,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
190,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
191,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
192,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
193,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
194,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
195,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
196,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
197,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
198,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
199,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
200,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
201,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
